date,account,asset_symbol,asset_type,sector,units_held,unit_price,market_value,roi,dividend,annualized_roi,holding_days
2023-04-14,Account A,TSLA,crypto,Tech,11.11,65.94,732.59,-0.13,0.0,-13.0,774
2023-10-28,Account A,TSLA,stock,Tech,45.1,1317.14,59403.01,0.1,3.0,10.0,577
2023-06-18,Account A,TSLA,crypto,Energy,33.59,304.29,10221.1,0.26,0.0,26.0,709
2023-12-12,Account A,TSLA,crypto,Consumer,21.52,605.55,13031.44,0.06,0.0,6.0,532
2023-03-28,Account A,TSLA,crypto,Energy,3.3,291.11,960.66,0.17,0.0,17.0,791
2023-12-01,Account A,TSLA,mutual fund,Healthcare,5.06,924.57,4678.32,-0.08,1.95,-8.0,543
2023-03-29,Account A,TSLA,stock,Consumer,15.15,565.73,8570.81,0.16,1.49,16.0,790
2023-12-11,Account A,TSLA,crypto,Finance,28.75,740.27,21282.76,0.13,0.0,13.0,533
2023-01-14,Account A,TSLA,mutual fund,Finance,46.9,1112.23,52163.59,-0.09,0.16,-9.0,864
2023-06-28,Account A,TSLA,mutual fund,Consumer,13.85,912.86,12643.11,-0.17,2.48,-17.0,699
2023-06-08,Account A,TSLA,stock,Healthcare,30.25,534.65,16173.16,0.19,0.53,19.0,719
2023-05-03,Account A,TSLA,mutual fund,Finance,4.68,1105.87,5175.47,0.05,3.44,5.0,755
2023-07-15,Account A,TSLA,crypto,Finance,22.31,407.28,9086.42,0.21,0.0,21.0,682
2023-05-13,Account A,TSLA,stock,Finance,40.17,1057.31,42472.14,-0.06,2.95,-6.0,745
2023-07-07,Account A,TSLA,stock,Healthcare,18.69,182.79,3416.35,0.26,0.68,26.0,690
2023-12-22,Account A,TSLA,stock,Healthcare,47.56,696.71,33135.53,-0.11,2.71,-11.0,522
2023-02-24,Account A,TSLA,stock,Consumer,43.77,1111.73,48660.42,0.2,3.29,20.0,823
2023-05-06,Account A,TSLA,mutual fund,Consumer,34.92,1281.33,44744.04,-0.08,2.45,-8.0,752
2023-02-02,Account A,TSLA,stock,Tech,11.84,1482.12,17548.3,0.27,0.2,27.0,845
2023-04-02,Account A,TSLA,mutual fund,Energy,35.57,1391.61,49499.57,-0.11,2.84,-11.0,786
2023-12-13,Account A,TSLA,mutual fund,Tech,45.86,99.22,4550.23,0.15,1.49,15.0,531
2023-07-06,Account A,TSLA,crypto,Healthcare,46.3,1458.03,67506.79,0.27,0.0,27.0,691
2023-07-30,Account A,TSLA,mutual fund,Consumer,24.24,1299.96,31511.03,0.22,1.6,22.0,667
2023-08-09,Account A,TSLA,crypto,Energy,41.62,103.66,4314.33,0.1,0.0,10.0,657
2023-10-16,Account A,TSLA,crypto,Finance,12.27,224.82,2758.54,-0.16,0.0,-16.0,589
2023-03-18,Account A,TSLA,crypto,Tech,35.12,542.82,19063.84,0.16,0.0,16.0,801
2023-11-17,Account A,TSLA,stock,Finance,4.2,507.17,2130.11,0.07,3.95,7.000000000000001,557
2023-07-03,Account A,TSLA,stock,Tech,16.62,957.54,15914.31,0.24,3.08,24.0,694
2023-03-06,Account A,TSLA,crypto,Energy,12.42,85.38,1060.42,0.24,0.0,24.0,813
2023-03-09,Account A,TSLA,stock,Tech,2.04,1318.32,2689.37,0.06,4.7,6.0,810
2023-10-22,Account A,TSLA,stock,Consumer,40.14,1497.0,60089.58,-0.02,3.84,-2.0,583
2023-12-23,Account A,TSLA,mutual fund,Healthcare,20.69,745.82,15431.02,0.11,4.37,11.0,521
2023-10-17,Account A,TSLA,mutual fund,Tech,49.22,1164.0,57292.08,0.01,2.11,1.0,588
2023-03-27,Account A,TSLA,mutual fund,Consumer,37.14,396.23,14715.98,-0.14,1.77,-14.000000000000002,792
2023-09-11,Account A,TSLA,crypto,Consumer,15.07,479.65,7228.33,-0.08,0.0,-8.0,624
2023-01-21,Account A,TSLA,crypto,Finance,3.06,75.92,232.32,0.29,0.0,28.999999999999996,857
2023-08-25,Account A,TSLA,crypto,Energy,21.96,607.27,13335.65,0.14,0.0,14.000000000000002,641
2023-09-28,Account A,TSLA,stock,Tech,11.69,1427.44,16686.77,0.19,0.45,19.0,607
2023-01-29,Account A,TSLA,crypto,Finance,21.46,1324.72,28428.49,0.27,0.0,27.0,849
2023-11-29,Account A,TSLA,crypto,Tech,23.9,939.45,22452.85,-0.12,0.0,-12.0,545
2023-09-12,Account A,TSLA,stock,Finance,49.57,385.92,19130.05,0.27,3.25,27.0,623
2023-06-02,Account A,BTC,crypto,Healthcare,30.78,31248.62,961832.52,-0.08,0.0,-8.0,725
2023-10-01,Account A,BTC,crypto,Healthcare,9.65,14008.69,135183.86,-0.11,0.0,-11.0,604
2023-03-18,Account A,BTC,mutual fund,Finance,39.2,21657.39,848969.69,-0.17,4.85,-17.0,801
2023-07-26,Account A,BTC,crypto,Tech,44.31,55737.38,2190963.4994999995,0.3,0.0,30.0,671
2023-08-18,Account A,BTC,stock,Energy,9.52,24378.28,232081.23,0.18,3.48,18.0,648
2023-10-08,Account A,BTC,crypto,Finance,8.54,49134.15,419605.64,-0.09,0.0,-9.0,597
2023-03-10,Account A,BTC,mutual fund,Consumer,11.97,32681.49,391197.44,0.1,2.9,10.0,809
2023-08-24,Account A,BTC,mutual fund,Energy,5.48,52770.19,289180.64,-0.07,0.65,-7.000000000000001,642
2023-08-10,Account A,BTC,crypto,Healthcare,44.55,57383.44,2190963.4994999995,0.23,0.0,23.0,656
2023-01-06,Account A,BTC,stock,Healthcare,40.67,39659.28,1612942.92,0.08,0.43,8.0,872
2023-09-04,Account A,BTC,mutual fund,Healthcare,21.01,22988.62,482990.91,-0.07,3.62,-7.000000000000001,631
2023-02-05,Account A,BTC,stock,Tech,25.3,5781.73,146277.77,-0.09,3.42,-9.0,842
2023-02-11,Account A,BTC,crypto,Consumer,4.73,51221.21,242276.32,0.05,0.0,5.0,836
2023-08-02,Account A,BTC,crypto,Energy,24.55,35952.06,882623.07,0.21,0.0,21.0,664
2023-12-20,Account A,BTC,mutual fund,Healthcare,18.04,41002.95,739693.22,0.08,1.34,8.0,524
2023-04-18,Account A,BTC,crypto,Consumer,44.05,48048.14,2116520.57,0.13,0.0,13.0,770
2023-05-20,Account A,BTC,stock,Tech,42.68,52170.36,2190963.4994999995,0.15,4.19,15.0,738
2023-07-12,Account A,BTC,crypto,Finance,35.18,41128.31,1446893.95,0.11,0.0,11.0,685
2023-08-27,Account A,BTC,stock,Finance,37.88,10357.7,392349.68,0.24,4.36,24.0,639
2023-09-21,Account A,BTC,mutual fund,Energy,2.43,49723.19,120827.35,-0.14,1.68,-14.000000000000002,614
2023-08-20,Account A,BTC,crypto,Finance,37.43,10484.83,392447.19,0.21,0.0,21.0,646
2023-06-18,Account A,BTC,mutual fund,Tech,41.77,30940.6,1292388.86,-0.2,1.44,-20.0,709
2023-10-26,Account A,BTC,stock,Energy,31.23,58889.98,1839134.08,0.12,1.3,12.0,579
2023-08-16,Account A,BTC,mutual fund,Energy,32.07,32859.14,1053792.62,0.19,0.53,19.0,650
2023-05-16,Account A,BTC,crypto,Consumer,38.29,32934.73,1261070.81,0.28,0.0,28.000000000000004,742
2023-09-27,Account A,BTC,mutual fund,Tech,17.75,38324.69,680263.25,0.27,0.51,27.0,608
2023-07-21,Account A,BTC,stock,Energy,46.92,41585.26,1951180.4,-0.17,1.5,-17.0,676
2023-12-31,Account A,BTC,stock,Finance,35.7,4973.69,177560.73,0.09,1.73,9.0,513
2023-11-19,Account A,BTC,stock,Tech,31.42,3698.78,116215.67,0.24,4.87,24.0,555
2023-05-04,Account A,BTC,mutual fund,Energy,48.48,45229.46,2190963.4994999995,-0.13,3.79,-13.0,754
2023-10-10,Account A,BTC,crypto,Healthcare,2.2,2305.29,5071.64,-0.04,0.0,-4.0,595
2023-05-07,Account A,BTC,crypto,Healthcare,24.94,46454.04,1158563.76,0.14,0.0,14.000000000000002,751
2023-07-19,Account A,BTC,stock,Energy,22.85,17143.97,391739.71,0.3,2.13,30.0,678
2023-09-17,Account A,BTC,stock,Finance,23.12,10653.81,246316.09,0.2,3.47,20.0,618
2023-04-12,Account A,BTC,crypto,Healthcare,11.82,5860.48,69270.87,0.14,0.0,14.000000000000002,776
2023-08-01,Account A,BTC,mutual fund,Energy,33.07,17122.31,566234.79,0.28,0.76,28.000000000000004,665
2023-12-05,Account A,BTC,mutual fund,Consumer,22.18,56673.34,1257014.68,0.01,3.19,1.0,539
2023-06-09,Account A,BTC,stock,Finance,20.48,17178.7,351819.78,0.29,2.05,28.999999999999996,718
2023-10-25,Account A,BTC,stock,Healthcare,44.81,14567.32,652761.61,-0.09,0.16,-9.0,580
2023-09-06,Account A,BTC,crypto,Finance,32.93,22743.05,748928.64,0.23,0.0,23.0,629
2023-12-01,Account A,BTC,mutual fund,Healthcare,24.19,58123.41,1406005.29,-0.11,4.34,-11.0,543
2023-06-27,Account A,BTC,crypto,Energy,39.05,46484.39,1815215.43,0.22,0.0,22.0,700
2023-04-24,Account A,BTC,stock,Finance,38.29,37947.0,1452990.63,-0.13,0.16,-13.0,764
2023-11-06,Account A,BTC,stock,Finance,46.12,37382.37,1724074.9,0.2,2.41,20.0,568
2023-01-31,Account A,BTC,crypto,Consumer,6.75,8385.96,56605.23,0.14,0.0,14.000000000000002,847
2023-10-03,Account A,BTC,stock,Consumer,22.08,12830.96,283307.6,0.05,0.32,5.0,602
2023-09-12,Account A,BTC,stock,Energy,29.52,16870.61,498020.41,0.2,1.55,20.0,623
2023-11-22,Account A,BTC,stock,Tech,23.31,1685.61,39291.57,-0.16,1.96,-16.0,552
2023-03-24,Account A,BTC,stock,Healthcare,24.52,36401.21,892557.67,-0.05,3.47,-5.0,795
2023-05-24,Account A,BTC,mutual fund,Healthcare,43.15,47011.21,2028533.71,-0.18,2.4,-18.0,734
2023-02-12,Account A,BTC,stock,Energy,6.14,15280.66,93823.25,0.29,0.71,28.999999999999996,835
2023-03-03,Account A,BTC,crypto,Energy,25.45,37471.19,953641.79,0.15,0.0,15.0,816
2023-10-18,Account A,BTC,crypto,Energy,28.42,1576.48,44803.56,-0.04,0.0,-4.0,587
2023-02-25,Account A,BTC,crypto,Tech,26.37,6184.12,163075.24,-0.02,0.0,-2.0,822
2023-04-09,Account A,BTC,crypto,Consumer,2.63,5636.13,14823.02,-0.0,0.0,-0.0,779
2023-05-12,Account A,BTC,stock,Tech,7.5,34484.91,258636.83,0.14,4.0,14.000000000000002,746
2023-05-25,Account A,BTC,crypto,Tech,10.81,10881.47,117628.69,-0.15,0.0,-15.0,733
2023-01-10,Account A,BTC,crypto,Energy,32.19,42682.07,1373935.83,-0.18,0.0,-18.0,868
2023-04-29,Account A,BTC,mutual fund,Finance,46.87,4066.31,190587.95,0.07,3.55,7.000000000000001,759
2023-03-28,Account A,BTC,crypto,Healthcare,43.68,43131.13,1883967.76,0.2,0.0,20.0,791
2023-04-19,Account A,ETH,mutual fund,Energy,17.63,49074.68,865186.61,-0.16,4.47,-16.0,769
2023-06-09,Account A,ETH,crypto,Tech,27.83,49220.57,1369808.46,0.03,0.0,3.0,718
2023-01-21,Account A,ETH,stock,Finance,32.54,32057.76,1043159.51,0.17,0.41,17.0,857
2023-03-14,Account A,ETH,crypto,Healthcare,3.96,15579.09,61693.2,-0.12,0.0,-12.0,805
2023-07-15,Account A,ETH,mutual fund,Healthcare,43.72,13933.63,609178.3,0.29,1.68,28.999999999999996,682
2023-04-26,Account A,ETH,mutual fund,Tech,9.92,47592.21,472114.72,0.13,2.49,13.0,762
2023-02-23,Account A,ETH,mutual fund,Tech,28.21,43432.9,1225242.11,-0.09,4.98,-9.0,824
2023-06-16,Account A,ETH,stock,Finance,48.76,39369.22,1919643.17,-0.1,3.4,-10.0,711
2023-02-18,Account A,ETH,mutual fund,Finance,4.54,2808.5,12750.59,-0.07,2.31,-7.000000000000001,829
2023-06-04,Account A,ETH,mutual fund,Tech,43.55,43902.98,1911974.78,0.17,2.13,17.0,723
2023-11-12,Account A,ETH,mutual fund,Healthcare,17.95,22891.29,410898.66,0.29,0.2,28.999999999999996,562
2023-03-10,Account A,ETH,mutual fund,Tech,43.48,35141.85,1527967.64,0.02,3.63,2.0,809
2023-08-07,Account A,ETH,stock,Tech,24.85,52531.97,1305419.45,0.25,2.11,25.0,659
2023-01-25,Account A,ETH,mutual fund,Healthcare,14.56,35948.67,523412.64,0.26,1.05,26.0,853
2023-07-18,Account A,ETH,crypto,Energy,31.53,38262.05,1206402.44,0.17,0.0,17.0,679
2023-09-09,Account A,ETH,stock,Energy,7.45,43233.67,322090.84,0.25,0.9,25.0,626
2023-09-11,Account A,ETH,stock,Energy,12.64,58312.31,737067.6,-0.11,4.27,-11.0,624
2023-06-21,Account A,ETH,stock,Tech,25.12,15586.63,391536.15,0.24,2.23,24.0,706
2023-04-15,Account A,ETH,mutual fund,Finance,26.23,22194.77,582168.82,0.1,0.82,10.0,773
2023-10-03,Account A,ETH,mutual fund,Energy,20.16,58195.33,1173217.85,-0.07,3.28,-7.000000000000001,602
2023-05-13,Account A,ETH,stock,Tech,16.93,46634.91,789529.03,-0.13,4.85,-13.0,745
2023-05-18,Account A,ETH,stock,Consumer,23.24,14926.98,346903.02,-0.16,0.85,-16.0,740
2023-03-02,Account A,ETH,crypto,Consumer,26.47,20883.19,552778.04,0.21,0.0,21.0,817
2023-09-10,Account A,ETH,stock,Finance,22.11,15674.14,346555.24,0.11,3.53,11.0,625
2023-03-01,Account A,ETH,stock,Consumer,9.19,10889.53,100074.78,-0.18,3.68,-18.0,818
2023-02-02,Account A,ETH,crypto,Consumer,33.53,29003.22,972477.97,0.22,0.0,22.0,845
2023-11-04,Account A,ETH,mutual fund,Finance,40.48,35535.91,1438493.64,0.23,1.03,23.0,570
2023-10-26,Account A,ETH,mutual fund,Energy,6.48,16915.23,109610.69,-0.17,2.66,-17.0,579
2023-07-05,Account A,ETH,crypto,Finance,46.89,3321.27,155734.35,-0.14,0.0,-14.000000000000002,692
2023-06-25,Account A,ETH,mutual fund,Healthcare,23.16,56098.63,1299244.27,-0.04,2.54,-4.0,702
2023-09-12,Account A,ETH,mutual fund,Consumer,3.04,9752.25,29646.84,0.29,4.83,28.999999999999996,623
2023-02-20,Account A,ETH,crypto,Tech,1.24,57156.9,70874.56,0.12,0.0,12.0,827
2023-04-09,Account A,ETH,stock,Tech,43.53,27829.65,1211424.66,0.06,2.44,6.0,779
2023-05-12,Account A,ETH,crypto,Consumer,33.68,9239.42,311183.67,-0.19,0.0,-19.0,746
2023-03-26,Account A,ETH,mutual fund,Finance,16.09,42576.17,685050.58,-0.1,3.37,-10.0,793
2023-11-19,Account A,ETH,crypto,Energy,48.53,6540.14,317392.99,0.14,0.0,14.000000000000002,555
2023-10-27,Account A,ETH,mutual fund,Healthcare,22.74,52220.39,1187491.67,-0.11,3.46,-11.0,578
2023-01-20,Account A,ETH,crypto,Consumer,42.07,56732.24,2190963.4994999995,0.14,0.0,14.000000000000002,858
2023-09-19,Account A,ETH,stock,Finance,25.36,37452.99,949807.83,0.23,2.85,23.0,616
2023-04-08,Account A,ETH,stock,Consumer,2.49,55925.97,139255.67,0.14,3.38,14.000000000000002,780
2023-02-13,Account A,ETH,mutual fund,Energy,11.57,39874.24,461344.96,-0.0,3.26,-0.0,834
2023-08-18,Account A,ETH,mutual fund,Energy,6.22,39812.87,247636.05,0.3,0.24,30.0,648
2023-08-08,Account A,ETH,mutual fund,Tech,48.88,25007.57,1222370.02,0.24,3.91,24.0,658
2023-09-16,Account A,ETH,mutual fund,Finance,28.78,44568.5,1282681.43,0.24,2.02,24.0,619
2023-01-14,Account A,ETH,mutual fund,Healthcare,17.02,40388.01,687403.93,0.2,3.81,20.0,864
2023-12-20,Account A,ETH,crypto,Finance,40.09,26699.42,1070379.75,0.21,0.0,21.0,524
2023-12-05,Account A,ETH,crypto,Healthcare,6.89,33124.86,228230.29,-0.2,0.0,-20.0,539
2023-05-31,Account A,ETH,stock,Healthcare,16.9,22621.23,382298.79,-0.0,3.48,-0.0,727
2023-08-13,Account A,ETH,mutual fund,Tech,20.04,27472.92,550557.32,-0.08,1.87,-8.0,653
2023-01-12,Account A,ETH,stock,Healthcare,12.14,5318.56,64567.32,0.1,3.34,10.0,866
2023-09-27,Account A,ETH,stock,Healthcare,31.36,28346.15,888935.26,-0.01,4.32,-1.0,608
2023-11-25,Account A,ETH,stock,Finance,26.44,29271.73,773944.54,-0.19,1.71,-19.0,549
2023-04-24,Account A,ETH,mutual fund,Healthcare,19.63,24530.54,481534.5,0.09,2.67,9.0,764
2023-12-14,Account A,ETH,stock,Healthcare,30.79,46128.11,1420284.51,0.21,3.59,21.0,530
2023-02-16,Account A,ETH,crypto,Healthcare,47.82,2075.72,99260.93,-0.1,0.0,-10.0,831
2023-07-27,Account A,ETH,stock,Consumer,1.37,39201.01,53705.38,0.25,1.22,25.0,670
2023-12-08,Account A,ETH,stock,Energy,46.42,4555.78,211479.31,0.27,1.76,27.0,536
2023-12-02,Account A,ETH,crypto,Healthcare,5.97,29666.43,177108.59,-0.07,0.0,-7.000000000000001,542
2023-10-21,Account A,ETH,crypto,Tech,14.96,19130.11,286186.45,0.2,0.0,20.0,584
2023-11-01,Account A,ETH,stock,Energy,27.42,19367.15,531047.25,0.11,3.58,11.0,573
2023-09-23,Account A,VFINX,stock,Finance,14.36,649.65,9328.97,-0.14,0.91,-14.000000000000002,612
2023-12-27,Account A,VFINX,stock,Tech,34.37,313.09,10760.9,0.06,3.55,6.0,517
2023-07-16,Account A,VFINX,crypto,Consumer,6.24,872.6,5445.02,-0.07,0.0,-7.000000000000001,681
2023-09-03,Account A,VFINX,crypto,Healthcare,48.18,751.14,36189.93,0.2,0.0,20.0,632
2023-11-26,Account A,VFINX,stock,Healthcare,27.96,112.95,3158.08,0.12,4.76,12.0,548
2023-05-09,Account A,VFINX,stock,Finance,30.48,1237.82,37728.75,0.24,1.14,24.0,749
2023-06-30,Account A,VFINX,mutual fund,Tech,11.39,935.92,10660.13,0.01,4.2,1.0,697
2023-10-07,Account A,VFINX,crypto,Consumer,45.1,562.46,25366.95,-0.08,0.0,-8.0,598
2023-01-17,Account A,VFINX,crypto,Tech,39.25,448.47,17602.45,0.21,0.0,21.0,861
2023-08-03,Account A,VFINX,crypto,Healthcare,21.76,1017.95,22150.59,-0.15,0.0,-15.0,663
2023-05-10,Account A,VFINX,crypto,Finance,31.57,705.06,22258.74,0.09,0.0,9.0,748
2023-05-13,Account A,VFINX,mutual fund,Energy,9.23,1118.47,10323.48,0.23,1.08,23.0,745
2023-04-09,Account A,VFINX,crypto,Energy,5.69,84.28,479.55,0.12,0.0,12.0,779
2023-06-26,Account A,VFINX,mutual fund,Consumer,30.75,842.71,25913.33,-0.08,1.95,-8.0,701
2023-03-24,Account A,VFINX,crypto,Healthcare,30.13,770.31,23209.44,0.29,0.0,28.999999999999996,795
2023-07-21,Account A,VFINX,mutual fund,Consumer,7.69,1057.96,8135.71,0.0,2.14,0.0,676
2023-03-29,Account A,VFINX,stock,Finance,36.16,1054.03,38113.72,0.3,0.64,30.0,790
2023-02-01,Account A,VFINX,crypto,Tech,6.1,1100.29,6711.77,0.09,0.0,9.0,846
2023-11-29,Account A,VFINX,crypto,Consumer,14.43,165.16,2383.26,-0.16,0.0,-16.0,545
2023-12-04,Account A,VFINX,mutual fund,Healthcare,44.82,328.21,14710.37,-0.04,1.13,-4.0,540
2023-05-08,Account A,VFINX,stock,Energy,18.39,150.66,2770.64,0.06,0.34,6.0,750
2023-05-30,Account A,VFINX,mutual fund,Tech,40.22,388.88,15640.75,0.07,4.4,7.000000000000001,728
2023-03-01,Account A,VFINX,crypto,Tech,32.89,822.79,27061.56,-0.04,0.0,-4.0,818
2023-04-02,Account A,VFINX,stock,Energy,17.32,1020.76,17679.56,0.3,3.31,30.0,786
2023-12-26,Account A,VFINX,mutual fund,Consumer,28.33,1109.44,31430.44,0.03,0.3,3.0,518
2023-10-22,Account A,VFINX,stock,Energy,28.55,1438.56,41070.89,-0.11,3.45,-11.0,583
2023-06-01,Account A,VFINX,crypto,Finance,10.85,826.95,8972.41,-0.15,0.0,-15.0,726
2023-07-26,Account A,VFINX,mutual fund,Finance,23.07,1146.44,26448.37,-0.03,3.32,-3.0,671
2023-10-03,Account A,VFINX,crypto,Finance,39.98,1394.41,55748.51,-0.08,0.0,-8.0,602
2023-09-09,Account A,VFINX,stock,Healthcare,20.57,271.0,5574.47,0.3,4.64,30.0,626
2023-08-07,Account A,VFINX,mutual fund,Energy,27.46,1270.95,34900.29,0.06,3.12,6.0,659
2023-04-23,Account A,VFINX,crypto,Energy,5.37,1145.14,6149.4,-0.14,0.0,-14.000000000000002,765
2023-04-12,Account A,VFINX,stock,Energy,41.48,1183.94,49109.83,0.15,0.18,15.0,776
2023-04-30,Account A,VFINX,crypto,Finance,15.85,431.51,6839.43,-0.02,0.0,-2.0,758
2023-11-27,Account A,VFINX,crypto,Consumer,5.29,1408.59,7451.44,0.08,0.0,8.0,547
2023-03-16,Account A,VFINX,mutual fund,Healthcare,15.97,625.62,9991.15,0.02,3.0,2.0,803
2023-02-25,Account A,VFINX,mutual fund,Tech,26.27,1383.12,36334.56,0.05,4.96,5.0,822
2023-03-06,Account A,VFINX,mutual fund,Finance,42.72,352.34,15051.96,0.27,0.58,27.0,813
2023-12-17,Account A,VFINX,crypto,Consumer,41.06,601.9,24714.01,0.24,0.0,24.0,527
2023-06-29,Account A,VFINX,stock,Consumer,43.53,1218.59,53045.22,0.2,1.52,20.0,698
2023-04-27,Account A,VFINX,crypto,Tech,4.97,634.32,3152.57,-0.11,0.0,-11.0,761
2023-06-22,Account A,VFINX,stock,Healthcare,35.05,551.84,19341.99,0.29,3.2,28.999999999999996,705
2023-01-20,Account A,VFINX,stock,Healthcare,41.3,242.16,10001.21,0.23,4.61,23.0,858
2023-09-20,Account A,VFINX,crypto,Healthcare,24.87,929.07,23105.97,0.18,0.0,18.0,615
2023-02-24,Account A,VFINX,mutual fund,Healthcare,9.57,778.72,7452.35,-0.0,0.73,-0.0,823
2023-06-07,Account A,VFINX,crypto,Consumer,19.01,148.85,2829.64,-0.19,0.0,-19.0,720
2023-04-03,Account A,VFINX,stock,Energy,7.62,1446.52,11022.48,0.07,4.83,7.000000000000001,785
2023-09-28,Account A,VFINX,stock,Energy,22.19,502.13,11142.26,0.05,2.2,5.0,607
2023-03-20,Account A,VFINX,mutual fund,Tech,6.18,979.2,6051.46,-0.09,3.1,-9.0,799
2023-01-24,Account A,VFINX,crypto,Tech,32.86,270.44,8886.66,-0.17,0.0,-17.0,854
2023-12-14,Account A,VFINX,mutual fund,Healthcare,39.26,716.71,28138.03,-0.17,4.97,-17.0,530
2023-07-20,Account A,VFINX,crypto,Finance,3.83,1057.8,4051.37,0.29,0.0,28.999999999999996,677
2023-03-08,Account A,VFINX,stock,Energy,12.72,256.26,3259.63,-0.14,1.52,-14.000000000000002,811
2023-06-11,Account A,VFINX,stock,Finance,5.95,1053.63,6269.1,-0.17,2.55,-17.0,716
2023-05-25,Account A,VFINX,stock,Energy,49.84,1230.26,61316.16,0.11,1.53,11.0,733
2023-02-10,Account A,VFINX,crypto,Energy,31.57,814.21,25704.61,0.01,0.0,1.0,837
2023-12-29,Account A,VFINX,mutual fund,Energy,7.4,1335.58,9883.29,0.02,0.97,2.0,515
2023-10-11,Account A,VFINX,crypto,Healthcare,19.02,650.49,12372.32,0.21,0.0,21.0,594
2023-03-18,Account A,VFINX,mutual fund,Energy,36.95,1165.49,43064.86,-0.19,2.08,-19.0,801
2023-07-13,Account A,VFINX,mutual fund,Tech,24.59,77.83,1913.84,-0.07,3.8,-7.000000000000001,684
2023-03-02,Account A,VTSAX,crypto,Energy,7.72,826.2,6378.26,-0.09,0.0,-9.0,817
2023-07-01,Account A,VTSAX,stock,Healthcare,1.59,399.74,635.59,0.29,4.01,28.999999999999996,696
2023-04-10,Account A,VTSAX,crypto,Finance,48.02,757.39,36369.87,-0.15,0.0,-15.0,778
2023-05-16,Account A,VTSAX,mutual fund,Healthcare,27.85,708.85,19741.47,0.22,0.49,22.0,742
2023-11-28,Account A,VTSAX,crypto,Finance,24.92,267.57,6667.84,-0.04,0.0,-4.0,546
2023-11-08,Account A,VTSAX,mutual fund,Healthcare,37.13,740.23,27484.74,-0.01,1.97,-1.0,566
2023-01-10,Account A,VTSAX,crypto,Consumer,23.51,1188.27,27936.23,0.25,0.0,25.0,868
2023-02-17,Account A,VTSAX,mutual fund,Energy,47.81,1191.01,56942.19,-0.04,3.44,-4.0,830
2023-02-14,Account A,VTSAX,stock,Healthcare,22.44,419.27,9408.42,0.22,0.19,22.0,833
2023-05-30,Account A,VTSAX,crypto,Healthcare,45.19,719.14,32497.94,0.12,0.0,12.0,728
2023-05-22,Account A,VTSAX,crypto,Energy,33.31,1347.92,44899.22,0.12,0.0,12.0,736
2023-07-29,Account A,VTSAX,crypto,Finance,31.08,146.65,4557.88,0.06,0.0,6.0,668
2023-03-07,Account A,VTSAX,stock,Consumer,8.36,1119.28,9357.18,0.06,3.4,6.0,812
2023-10-05,Account A,VTSAX,crypto,Energy,3.04,172.95,525.77,0.16,0.0,16.0,600
2023-09-26,Account A,VTSAX,mutual fund,Tech,4.53,153.32,694.54,-0.19,4.78,-19.0,609
2023-03-22,Account A,VTSAX,stock,Healthcare,37.14,562.21,20880.48,-0.05,1.75,-5.0,797
2023-12-18,Account A,VTSAX,mutual fund,Finance,38.96,1008.99,39310.25,-0.11,0.87,-11.0,526
2023-10-09,Account A,VTSAX,mutual fund,Finance,5.82,1007.44,5863.3,0.18,1.33,18.0,596
2023-11-26,Account A,VTSAX,stock,Tech,2.03,169.15,343.37,0.28,1.48,28.000000000000004,548
2023-06-29,Account A,VTSAX,stock,Tech,38.69,955.76,36978.35,-0.01,1.03,-1.0,698
2023-02-07,Account A,VTSAX,crypto,Energy,6.95,941.77,6545.3,0.19,0.0,19.0,840
2023-01-28,Account A,VTSAX,crypto,Energy,32.55,818.94,26656.5,-0.18,0.0,-18.0,850
2023-11-06,Account A,VTSAX,mutual fund,Consumer,48.46,1208.14,58546.46,-0.05,4.9,-5.0,568
2023-04-22,Account A,VTSAX,crypto,Consumer,30.49,894.51,27273.61,0.17,0.0,17.0,766
2023-06-24,Account A,VTSAX,stock,Finance,40.78,1001.89,40857.07,-0.14,1.69,-14.000000000000002,703
2023-03-19,Account A,VTSAX,crypto,Finance,46.48,375.69,17462.07,-0.01,0.0,-1.0,800
2023-04-28,Account A,VTSAX,crypto,Finance,22.17,687.14,15233.89,0.11,0.0,11.0,760
2023-11-20,Account A,VTSAX,mutual fund,Healthcare,47.21,399.0,18836.79,-0.14,0.99,-14.000000000000002,554
2023-10-10,Account A,VTSAX,crypto,Finance,44.46,986.43,43856.68,-0.06,0.0,-6.0,595
2023-03-26,Account A,VTSAX,stock,Consumer,40.98,1298.99,53232.61,0.22,4.59,22.0,793
2023-03-24,Account A,VTSAX,mutual fund,Tech,13.36,1144.81,15294.66,0.03,4.21,3.0,795
2023-03-29,Account A,VTSAX,crypto,Healthcare,36.7,1175.85,43153.69,0.13,0.0,13.0,790
2023-01-24,Account A,VTSAX,stock,Energy,9.69,840.29,8142.41,0.29,4.69,28.999999999999996,854
2023-10-30,Account A,VTSAX,stock,Healthcare,3.12,288.98,901.62,-0.13,3.63,-13.0,575
2023-08-04,Account A,VTSAX,stock,Consumer,41.07,359.59,14768.36,0.05,4.2,5.0,662
2023-02-16,Account A,VTSAX,stock,Consumer,36.91,836.24,30865.62,0.1,2.54,10.0,831
2023-10-29,Account A,VTSAX,crypto,Consumer,15.58,869.28,13543.38,0.14,0.0,14.000000000000002,576
2023-08-13,Account A,VTSAX,crypto,Energy,43.79,972.62,42591.03,0.18,0.0,18.0,653
